auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;max_price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;9;01/089/04;15.10.2010 18:15;16.04.2011 18:15;;;«Женский портрет»;;Холст, масло, неизвестный художник, Россия к. XIX в., 32.5х26.5 см;0;;0;rus_genskii_portret_01_089_04_2.jpg;rus_genskii_portret_01_089_04_1.jpg;;;;;;;;;;;;;
;1001789;05/529/05;16.02.2012 14:54;16.02.2014 14:49;;;«Натюрморт c желтыми розами»;;Холст на картоне, масло, подпись неразборчиво, Россия, н. ХХ в., диаметр 20,5 см (в деревянной раме);0;0;0;3894811.jpg;2934252.jpg;2073464.jpg;6083773.jpg;;;;;;;;;;;
;16;01/135/04;16.10.2010 0:31;13.12.2010 11:38;;;«Натюрморт с цветами и кувшином»;;Холст на картоне, подпись - неразборчиво, Россия, н. ХХ в., 55х52 см;10800;;10800;rus_naturmort_01_135_04_1.jpg;rus_naturmort_01_135_04_2.jpg;rus_naturmort_01_135_04_3.jpg;;;;;;;;;;;;
;4;01/025/02;29.07.2011 14:27;28.07.2014 20:12;;;«Портрет кирасира»;;Бумага, угольный карандаш, подпись M. Barwicki. Petrsburg 1892г., Россия, овал 65х49 см;0;;0;rus_portret_kirasira_01_025_02_2.jpg;rus_portret_kirasira_01_025_02_1.jpg;;;;;;;;;;;;;
;4;01/025/02;23.01.2011 5:24;25.07.2011 6:24;;;«Портрет кирасира»;;Бумага, угольный карандаш, подпись M. Barwicki. Petrsburg 1892г., Россия, овал 65х49 см;0;;0;rus_portret_kirasira_01_025_02_2.jpg;rus_portret_kirasira_01_025_02_1.jpg;;;;;;;;;;;;;
;1;01/042/02;29.07.2011 14:27;28.07.2015 20:12;;;Ахиллес Л. парные «Натюрморты с фруктами»;;Стекло, масло, подп. Л. Ахиллес 1911, Россия, в рамах красного дерева, мастерская Е. Фролова, С-Пб, 20.5х26.5 см;0;;0;rus_Ahilles_naturmorti_01_042_02_5.jpg;rus_Ahilles_naturmorti_01_042_02_4.jpg;rus_Ahilles_naturmorti_01_042_02_3.jpg;rus_Ahilles_naturmorti_01_042_02_2.jpg;rus_Ahilles_naturmorti_01_042_02_1.jpg;;;;;;;;;;
;1;01/042/02;24.01.2011 14:11;26.07.2011 15:11;;;Ахиллес Л. парные «Натюрморты с фруктами»;;Стекло, масло, подп. Л. Ахиллес 1911, Россия, в рамах красного дерева, мастерская Е. Фролова, С-Пб, 20.5х26.5 см;0;;0;rus_Ahilles_naturmorti_01_042_02_5.jpg;rus_Ahilles_naturmorti_01_042_02_4.jpg;rus_Ahilles_naturmorti_01_042_02_3.jpg;rus_Ahilles_naturmorti_01_042_02_2.jpg;rus_Ahilles_naturmorti_01_042_02_1.jpg;;;;;;;;;;
;1;01/042/02;23.01.2011 5:25;30.09.2010 15:00;;;Ахиллес Л. парные «Натюрморты с фруктами»;;Стекло, масло, подп. Л. Ахиллес 1911, Россия, в рамах красного дерева, мастерская Е. Фролова, С-Пб, 20.5х26.5 см;0;;0;rus_Ahilles_naturmorti_01_042_02_5.jpg;rus_Ahilles_naturmorti_01_042_02_4.jpg;rus_Ahilles_naturmorti_01_042_02_3.jpg;rus_Ahilles_naturmorti_01_042_02_2.jpg;rus_Ahilles_naturmorti_01_042_02_1.jpg;;;;;;;;;;
;1001780;05/517/01;15.12.2011 16:37;15.12.2011 17:06;;;"Картина &quot;Звоница в Ростове Великом&quot;";;"Холст на картоне, масло XX в. приписывается М.Виллiе 1909 г. Размер 69,6х49,7 см
";11000;0;11000;7833156.jpg;5597261.jpg;5761050.jpg;;;;;;;;;;;;
;1000661;03/374/01;13.04.2011 12:59;12.04.2012 18:44;21.03.2011 15:00;31.03.2011 15:00;Картина «Башня у озера»;;Холст на картоне, масло, без подписи, н. ХХ в., 30,5х52 см;0;;0;03_374_01_01.jpg;03_374_01_02.jpg;;;;;;;;;;;;;
;1000661;03/374/01;12.04.2012 18:53;12.10.2012 18:53;21.03.2011 15:00;31.03.2011 15:00;Картина «Башня у озера»;;Холст на картоне, масло, без подписи, н. ХХ в., 30,5х52 см;0;;0;03_374_01_01.jpg;03_374_01_02.jpg;;;;;;;;;;;;;
;1000661;03/374/01;13.10.2012 12:25;14.04.2013 12:25;21.03.2011 15:00;31.03.2011 15:00;Картина «Башня у озера»;;Холст на картоне, масло, без подписи, н. ХХ в., 30,5х52 см;0;;0;;;;;;;;;;;;;;;
2;1000259;02/219/09;08.05.2011 18:51;08.05.2012 0:37;;;Картина «Береза у пруда».;;Холст, масло, подпись «И. Проскурнин», 2-я пол. ХХ в. Размер 115х82 см.;0;;0;02_219_09_1.jpg;02_219_09_2.jpg;02_219_09_3.jpg;;;;;;;;;;;;
2;1000259;02/219/09;08.05.2012 11:42;07.11.2012 10:42;;;Картина «Береза у пруда».;;Холст, масло, подпись «И. Проскурнин», 2-я пол. ХХ в. Размер 115х82 см.;0;;0;02_219_09_1.jpg;02_219_09_2.jpg;02_219_09_3.jpg;;;;;;;;;;;;
2;1000291;02/219/05;08.05.2011 18:52;08.05.2020 0:38;;;Картина «Закат в сосновом лесу».;;Фанера, масло, подпись поздняя С.Федоров, ХХ в. Размер 70х92см;0;;0;02_219_05_1.jpg;02_219_05_2.jpg;02_219_05_3.jpg;;;;;;;;;;;;
4;1001446;04/387/05;24.06.2011 17:01;24.06.2013 16:59;;;Картина «Зимний пейзаж с берёзами» ;;Бумага, акварель, подпись «И. Виноградовъ 1911», 30х91 см, в современной раме и паспарту под стеклом;0;0;0;2485502.jpg;8350885.jpg;6109546.jpg;8129402.jpg;;;;;;;;;;;
4;1001438;04/388/09;24.06.2011 16:02;24.06.2013 16:00;;;Картина «Зимний пейзаж с глухарями» ;;Холст, масло, ХХ в., без подписи, 45х63 см (заклейки холста на оборотной стороне, в современной раме);0;0;0;7980167.jpg;7748998.jpg;;;;;;;;;;;;;
4;1001433;04/388/01;23.06.2011 15:59;23.06.2013 15:57;;;Картина «Зимняя дорога к хутору»;;Холст, масло, подпись «С. Ликов», н. ХХ в., 65х95 см;0;0;0;7440485.jpg;6818331.jpg;9888759.jpg;;;;;;;;;;;;
;1001357;04/388/01;10.06.2011 15:00;16.06.2013 15:00;10.06.2011 15:00;16.06.2011 15:00;Картина «Зимняя дорога к хутору»;;Холст, масло, подпись «С. Янков», н. ХХ в., 65х95 см;0;;0;04_388_01_01.jpg;04_388_01_02.jpg;04_388_01_03.jpg;;;;;;;;;;;;
;1000656;03/223/16;15.04.2011 16:25;14.04.2012 22:10;21.03.2011 15:00;31.03.2011 15:00;Картина «Лебеди на пруду»;;Холст, масло, внизу справа монограмма НА, Россия, н. ХХ в., размер 23,5х14,5 см (рама и паспарту современные);0;;0;03_223_16_01.jpg;03_223_16_02.jpg;03_223_16_03.jpg;;;;;;;;;;;;
;1000656;03/223/16;16.04.2012 11:37;14.04.2017 22:10;21.03.2011 15:00;31.03.2011 15:00;Картина «Лебеди на пруду»;;Холст, масло, внизу справа монограмма НА, Россия, н. ХХ в., размер 23,5х14,5 см (рама и паспарту современные);0;;0;03_223_16_01.jpg;03_223_16_02.jpg;03_223_16_03.jpg;;;;;;;;;;;;
5;1001462;05/400/02;02.09.2011 11:50;02.09.2011 18:20;;;Картина «Лесной пруд» ;;"Холст, масло, монограмма «Л.Б.» и дата: «1900г», 41х49 см (рама: дерево, багет, золочение; на обороте холста 2 заклейки)";24000;0;24000;8889908.jpg;8623423.jpg;4047106.jpg;6018476.jpg;;;;;;;;;;;
2;1000246;02/195/01;18.01.2011 1:34;18.01.2012 7:20;;;Картина «Натюрморт с цветами и книгой».;;Холст, масло, подпись «Янков М», Россия, 1930-е гг., рама. Размер 60х51 см;0;;0;02_195_01_1.jpg;02_195_01_2.jpg;02_195_01_3.jpg;02_195_01_4.jpg;02_195_01_5.jpg;;;;;;;;;;
4;1001432;04/388/14;23.06.2011 15:47;23.06.2020 15:45;;;Картина «Ночной пейзаж с рыбаком в лодке»;;Холст, масло, подпись «Ермолаевъ», к. XIX - н. ХХ вв., 56х40 см (реставрация, в раме своего времени);0;0;0;8595281.jpg;7479910.jpg;6453106.jpg;;;;;;;;;;;;
4;1001435;04/388/03;24.06.2011 15:18;24.06.2013 15:16;;;Картина «Пейзаж с ручьём»;;Фанера, масло, Россия, начало ХХ в., подпись неразборчиво, 42х59 см (реставрация, в раме своего времени);0;0;0;3302893.jpg;1970776.jpg;6373602.jpg;;;;;;;;;;;;
;1000534;02/215/06;15.01.2011 12:22;15.01.2012 18:08;;;Картина «Пейзаж с хатой»;;Картина «Пейзаж с хатой», неизвестный художник. Бумага, смешанная техника, справа внизу карандашом FG(?), к. ХIХ в., 22,5х30 см;0;0;0;02_215_06_1.jpg;02_215_06_2.jpg;02_215_06_3.jpg;;;;;;;;;;;;
;1000534;02/215/06;19.01.2012 10:57;13.02.2012 12:09;;;Картина «Пейзаж с хатой»;;Неизвестный художник. Бумага, смешанная техника, справа внизу карандашом FG(?), к. XIX в., 22,5х30 см;22000;0;22000;7313439.jpg;3331947.jpg;4485228.jpg;;;;;;;;;;;;
4;1001434;04/388/02;23.06.2011 16:05;23.06.2020 16:03;;;Картина-икона «Св. преподобная Мария Египетская»;;Холст, масло, неизвестный художник, XIX в., 64х54 см (реставрация, в современной раме);0;0;0;1185097.jpg;8974375.jpg;;;;;;;;;;;;;
;1000651;03/221/02;12.04.2011 19:35;12.04.2020 1:20;21.03.2011 15:00;31.03.2011 15:00;Копия с картины И.К. Айвазовского «Шторм в море»;;Холст, масло, художник Anna Orlinska (Польша), 1988 г., размер 50х70 см (в старой раме);0;;0;03_221_02_01.jpg;03_221_02_02.jpg;03_221_02_03.jpg;03_221_02_04.jpg;;;;;;;;;;;
2;1000663;02/219/01;08.05.2011 19:04;13.07.2011 13:44;;;Копия с картины К.Н. Брюллова «Вирсавия»;;Холст, масло, подпись А.Чижов, 2-я   пол. ХХ в. Размер 80х60 см;30000;0;30000;7467302.jpg;7008675.jpg;3531807.jpg;;;;;;;;;;;;
;1000579;01/067/04;27.01.2011 13:34;27.01.2020 17:43;;;Панно «Возвращение лейб-гвардии Атаманского полка с русско-турецкой войны»;;"Многослойное стекло, цветная печать, Россия, к. XIX - н. XX в., 22х32.5 см

 руб";0;0;0;1345332.jpg;3572432.jpg;8400132.jpg;;;;;;;;;;;;
;1001788;05/529/04;15.02.2012 10:45;15.02.2014 10:40;;;Приписывается Шишкину И.И. «Пейзаж с часовней»;;"Бумага, тушь, перо, подпись и дата: «И.Шишкинъ 1879», 27х21 см
";0;0;0;;;;;;;;;;;;;;;
;17;01/135/05;16.10.2010 0:48;11.01.2011 14:36;;;Ризниченко Ф. «Поздняя осень»;;Бумага, акварель, подпись « Ф.Ризниченко 15», 22.5х34.5 см;9000;;9000;rus_Osenj_01_135_05_3.jpg;rus_Osenj_01_135_05_2.jpg;rus_Osenj_01_135_05_1.jpg;;;;;;;;;;;;
;1000297;01/067/03;29.07.2012 22:53;28.01.2013 21:53;;;"Рутковский Николай Христофорович (1892 - 1968 гг.) эскиз к спектаклю &quot;Тартюф&quot;";;"Рутковский Николай Христофорович (1892 - 1968 гг.) эскиз к спектаклю «Тартюф»
Граттаж, подпись «Н. Рутковский», 1950-е гг. (?), 17х24 см";0;0;0;1033292.jpe;5742138.jpe;;;;;;;;;;;;;
;1000297;01/067/03;27.01.2011 13:26;27.01.2012 17:43;;;"Рутковский Николай Христофорович (1892 - 1968 гг.) эскиз к спектаклю &quot;Тартюф&quot;";;"Рутковский Николай Христофорович (1892 - 1968 гг.) эскиз к спектаклю «Тартюф»
Граттаж, подпись «Н. Рутковский», 1950-е гг. (?), 17х24 см";0;0;0;5869462.jpg;5641081.jpg;;;;;;;;;;;;;
;1000297;01/067/03;27.01.2012 18:01;28.07.2012 19:01;;;"Рутковский Николай Христофорович (1892 - 1968 гг.) эскиз к спектаклю &quot;Тартюф&quot;";;"Рутковский Николай Христофорович (1892 - 1968 гг.) эскиз к спектаклю «Тартюф»
Граттаж, подпись «Н. Рутковский», 1950-е гг. (?), 17х24 см";0;0;0;3154224.jpe;4573510.jpe;;;;;;;;;;;;;
