1443,"Венчальная пара «Господь Вседержитель», «Богоматерь Казанская»","Дерево, левкас, масло, оклад - серебро 84 пробы, золочение, клейма: 84, герб Москвы, пробирер А.А ( А. Арцибашев, Москва), 1896, именник мастера - неразборчиво, 22.5х18 см (небольшие утраты и разрывы на окладах)",328,0,4,1285844400,1284980400,,,,,00114
4434,"Икона  «Христос в терновом венце»","Дерево, масло, Россия, к. XIX в., на обороте надпись: «Писана сiя икона 1897го года М. Романенковой», 31х26 см (трещина по дереву)",328,0,3,1301569200,1300708800,,,21.03.2011+15%3A00,31.03.2011+15%3A00,1000730
4432,"Икона «Богоматерь Всех скорбящих радость с грошиками»","Дерево, темпера, сусальное золочение, Россия, к. XIX в., 31,5х27 см",328,39000,2,1301569200,1300708800,,,21.03.2011+15%3A00,31.03.2011+15%3A00,1000728
1444,"Икона «Богоматерь Казанская»","Дерево, левкас, масло, оклад - серебро 84 пробы, золочение, клейма: 84, герб Петербурга, А... - полустерто, вероятно пробирер А.М (А.Митин 1842-1877, С.-Петербург), 1864, именник мастера П.И (П. Иванов С.-Петербург), 27х22.5, киот (потертости живописного слоя)",328,0,4,1285844400,1284980400,,,,,00115
1441,"Икона «Введение во храм Пресвятой Богородицы»","Дерево, масло, Россия, н. XX в., 67х64 см (царапины, потертости)",328,18000,2,1285844400,1284980400,,,,,00112
1862,"Икона «Воскресение Христово с дванадесятыми праздниками»","дерево, левкас, сусальное золото, смешанная техника, к. XIX в., 44х37см,(осыпи живописного слоя, царапина), киот: дерево, лепнина, золочение, лампада, 88х74 см",328,0,3,1285844400,1284980400,,,,,00482
1430,"Икона «Господь Вседержитель»","Дерево, левкас, масло, оклад серебро 84 пр., штамп, золочение, перегородчатая и выемчатая полихромная эмаль,  Москва, 1899-1908 гг, именник С.Г., французское таможенное ввозное клеймо (лебедь), 18х14.5 см (незначительные сколы по эмали)",328,40000,3,1285844400,1284980400,,,,,00101
4429,"Икона «Господь Вседержитель»","Дерево, масло, оклад - серебро 84°, золочение, Россия, 1820-е гг., клейма: 84, герб Петербурга, МК (пробирный мастер М. Карпинский), 1…29, ПБ (неизвестный мастер), размер 18х15,5 см (разрывы на окладе, потертости живописи)",328,0,3,1301569200,1300708800,,,21.03.2011+15%3A00,31.03.2011+15%3A00,1000725
1447,"Икона «Знамение Пресвятой Богородицы»","Дерево, папье-маше, масло. Серебро 84°, чеканка, гравировка. Золотое шитье, речной жемчуг, стразы. Санкт-Петербург, к. XIX - н. ХХ в. Клейма: 84, женская голова в кокошнике влево, ЯЛ (Я.Ляпунов пробирер СПб), именник мастера TUG (неизвестный мастер) Размер 28х22 см, с венцом 30х22 см (отсутствует несколько страз, утраты на шитье и жемчуга) (вес 998 гр.)",328,0,3,1285844400,1284980400,,,,,00118
4431,"Икона «Св. Николай Чудотворец»","Дерево, темпера, оклад серебро 84°, Россия, Петербург, 1899-1908 гг., клейма: 84, женская голова в кокошнике влево, ЯЛ (Яков Ляпунов, Петербург, Петербургская пробирная инспекция), А.С.С. (неизвестный мастер), размер 31,5х27 см, вес оклада 458,3 гр (живопись с реставрацией, доска по бокам увеличена набивными планками)",328,30000,4,1301569200,1300708800,,,21.03.2011+15%3A00,31.03.2011+15%3A00,1000727
3325,"Икона «Св.Николай Чудотворец».","Дерево, масло, к. ХIХ в., 26,7х22,3 см. (сколы по углам, потертости)",328,0,2,1292328000,1291464000,,%B902,4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.,14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.,1000400
1857,"Икона «Святой Николай Чудотворец»","Дерево, левкас, темпера, оклад - серебро 84 пробы, золочение, клейма: 84, герб Петербурга, Э…- полустерто, вероятно пробирер Э.Б (Э. Бранденбург - 1850-1866), 18…- полустерто, именник мастера Ф.И (Ф. Ильин 1837-1857, С.-Петербург), размер иконы 31х25.5 см, киот 41х35.5 см",328,40000,5,1285844400,1284980400,,,,,00116
4425,"Икона «Святой Николай Чудотворец»","Дерево, темпера, оклад серебро 84°, штамп, золочение (частичное), СПб 1857 г., размер 31х25 см (живопись полустерта, утраты, осыпи)",328,22000,3,1301569200,1300708800,,,21.03.2011+15%3A00,31.03.2011+15%3A00,1000721
4426,"Икона «Успение Пресвятой Богородицы»","Дерево, темпера, золочение, Россия, к. XIX в., 57,5х45,5 см",328,0,2,1301569200,1300708800,,,21.03.2011+15%3A00,31.03.2011+15%3A00,1000722
4433,"Икона «Явление Богоматери преподобному Сергию Радонежскому»","Дерево, темпера, Россия, XVIII в., 17,5х13,8 см",328,12000,3,1301569200,1300708800,,,21.03.2011+15%3A00,31.03.2011+15%3A00,1000729
4427,Лампада,"Латунь, штамповка, золочение, цветные стекла, вкладыш из зеленого стекла, Россия, к. XIX в., высота без цепей 13 см, диаметр 12 см (высота подвеса - 59 см)",328,0,4,1301569200,1300708800,,,21.03.2011+15%3A00,31.03.2011+15%3A00,1000723
4428,"Лампада с изображениями Трех святителей","Серебро 84°, золочение, чернь, Россия, к. XVIII - н. XIX  вв., клейма: 84, высота 11,5 см, вес 167,98 гр.",328,0,6,1301569200,1300708800,,,21.03.2011+15%3A00,31.03.2011+15%3A00,1000724
3097,"10 открыток начала ХХ века","6-ть репродукций с картин:  В. Боброва (2 шт.), А. Веницианова, Г. Мозера, Феруччи, Блюме, 2 поздравительные открытки - Финляндия, открытка - США, открытка Франция",316,60,4,1292248134,1289166892,,,,,00390
1739,"Бюро в стиле Жакоб","Красное дерево, латунь, встроенный механизм открывания, к. ХIХ в., размер (В.Ш.Г.) 115х80х46 см",284,0,3,1285844400,1284980400,,,,,00363
1736,Диван,"Дерево, мягкая обивка, бронзовые накладки, в ст. Неоклассицизма, н. ХХ в., размеры (В.Ш.Г.) 158х322х98 см",284,45000,4,1285844400,1284980400,,,,,00360
3361,"Стол для игры в шахматы.","Дерево, пепельницы, ящички, паркетри, шестиугольный, н. ХХ в., высота 66 см.",284,0,3,1292328000,1291464000,,%B902,4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.,14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.,1000574
3362,"Столик самоварный.","Дерево, фирма братьев Тонет, Вена , н. ХХ в., высота 72 см",284,17000,4,1292328000,1291464000,,%B902,4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.,14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.,1000575
1740,"Ширма трехстворчатая «Цветы»","Клен, живопись маслом по стеклу, н. ХХ в., высота 127 см, длина в развернутом виде 147 см (отколот небольшой кусочек стекла)",284,10000,5,1285844400,1284980400,,,,,00364
3128,"Ширма четырехстворчатая","Красное дерево, декоративные, резные накладки, 1-я пол. XIX в., размер (одной створки) 191х66 см",326,0,2,1305155865,1289344665,,,,,00362
3130,Шкаф,"Красное дерево, с декоративными накладками, Ампир, одностворчатый, Россия, н. XIX в., размер (В.Ш.Г.) 140х77х58",326,0,3,1305155865,1289344665,,,,,00359
3129,"Шкаф бельевой","Красное дерево, одностворчатый, Ампир, Россия, н. XIX в., размеры (В.Ш.Г.) 190х113х51 см",326,0,3,1305155865,1289344665,,,,,00361
1734,"Шкаф книжный","Красное дерево, одностворчатый, в ст. Ампир, расстекловка, Россия, н. XIX в., размер (В.Ш.Г.) 175х96х44 см",284,0,3,1285844400,1284980400,,,,,00358
3131,"Шкаф книжный","Красное дерево, одностворчатый, Ампир, расстекловка, Россия, н. XIX в., размер (В.Ш.Г.) 175х96х44 см
",326,15600,3,1305276920,1290594911,0,,,,1000245
1426,"Миниатюра «Девушка в белом платье»","Живопись на кости, Западная Европа, XIX в., 7.5х5.5 см, рамка: металл.",273,0,2,1285844400,1284980400,,,,,00097
1429,"Миниатюра «Девушка в красной шали»","Живопись на кости, 1820-е годы, 7.7х5.5 см, рамка дерево, металл, 14.2х12 см",313,0,2,1587391800,1303374294,,,,,00100
3079,"Миниатюра «Девушка в красной шали»","Живопись на кости, 1820-е годы, 7.7х5.5 см, рамка дерево, металл, 14.2х12 см",313,0,2,1303372108,1287560908,,,,,00100
1428,"Миниатюра «Мужской портрет»","Живопись на кости, н. XIX в., 6.5х5.3 см, в рамке с бархатным паспарту",273,0,2,1285844400,1284980400,,,,,00099
1427,"Миниатюра «Портрет девушки в белом платье с голубой шалью»","Живопись на кости, н. XIX в., 6х4.5 см, рамка: кожа с золотым тиснением",273,0,2,1285844400,1284980400,,,,,00098
1425,"Миниатюра «Портрет молодой женщины с розой на лифе»","Живопись на кости, к. XVIII в., 7х5.5 см, рамка: дерево с металлическими накладками.",273,0,2,1285844400,1284980400,,,,,00096
116935,"Миниатюрный портрет «Садовник» Акварель","Cовременная работа, Западная Европа, 9х7,размер в раме в раме 25х24 см",313,0,2,1398611100,1335539568,0,,,,1002129
1653,"Бра на четыре свечи","Бронза, литье, чеканка, золочение, к. XIX в., высота 29 см, вес 2.470 гр",321,0,3,1587390480,1303373001,,,,,00308
3050,"Бра на четыре свечи","Бронза, литье, чеканка, золочение, к. XIX в., высота 29 см, вес 2.470 гр",321,0,3,1303328525,1287517325,,,,,00308
3468,"Бра настенное на 3 свечи.","Бронза, золочение, из 2-х частей, к. ХIХ в., высота 53см",321,28800,8,1310550378,1295508383,,%B902,4+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.,14+%E4%E5%EA%E0%E1%F0%FF+2010+%E3.,1000541
1657,"Декоративное панно в венском стиле «На берегу моря»","Бумага, лак, ХХ в., 31х46 см",321,360,2,1293448144,1293054623,,,,,00312
1656,"Декоративное панно в венском стиле «Шлюпка у скалы, замок»","Бумага, лак, ХХ в., 31х46 см",321,360,2,1293448123,1293054623,,,,,00311
1655,"Декоративное панно в венском стиле «Шторм у пристани»","Бумага, лак, ХХ в., 31х46 см",321,360,2,1293448069,1293054623,,,,,00310
1660,"Декоративные рамки с литографиями","Дерево, лепка, металл, поталь, Европа, 27х19 см",321,28000,7,1309458803,1293054623,,,,,00315
4252,"Зеркало настольное - псише","Латунь, серебрение, Западная Европа, 2-я пол. XIX в., 63х82 см",321,0,4,1586710080,1302692577,,,21.03.2011+15%3A00,31.03.2011+15%3A00,1000884
1642,"Лампа настольная","Обливная керамика, роспись подглазурная, бронза, литье, чеканка, золочение, Европа, н. ХХ в., высота 30 см",321,5400,5,1293095341,1293054623,,,,,00297
116413,"Люстра на 3 световые точки.","Бронза, литье, чеканка, золочение, хрусталь, к. XIX - н. ХХ века, Россия(?) высота 90 см. ",321,0,1,1391949540,1328791270,0,,,,1001785
4246,"Парные декоративные картины","1. Копия с картины худ. A. Veli (Франция, XIX в.) «Искушение» Дерево, бумага, печать, масло, Франция, к. XIX в., размер 26х16 см (утраты, царапины) 2. Копия с картины худ. P.A. Cot (Франция, XIX в.) «Весна» Дерево, бумага, печать, масло, Франция, к. XIX в., размер 26х16 см (утраты, царапины)",321,4500,6,1307612418,1302623296,,,21.03.2011+15%3A00,31.03.2011+15%3A00,1000878
115639,"Парные панно «Охотничьи и рыбачьи трофеи» ","Дерево, резьба. Западная Европа, начало ХХ в., 90х47 см",321,0,2,1601824260,1317741261,0,05,,,1001487
1654,"Парные подсвечники","Бронза, латунь, монтировка, н. ХХ в., высота 34 см",321,0,2,1324611300,1293054623,,,,,00309
116343,"Парные подсвечники","Бронза, латунь, монтировка, н. ХХ в., высота 34 см",321,0,2,1608694500,1324630768,,,,,00309
116426,"Термометр «Мишки под елью»","Дерево, резьба, н.ХХ в., Западная Европа, высота 36 см
",321,0,5,1393251120,1330093093,0,,,,1001798
