"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9";"";"";"";"";""
"1000460";"http://auction-ruseasons.ru/items_images/";"Настенное декоративное блюдо «Московский университет».";"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (скол на лицевой стороне, сколы на задней стороне)";"02/191/01";"№02";"5000";"04.12.2010 15:00";"14.12.2010 15:00";"02_191_01_1.jpg";"02_191_01_2.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"1000461";"http://auction-ruseasons.ru/items_images/";"Настенное декоративное блюдо «Большой театр».";"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";"02/191/02";"№02";"5000";"04.12.2010 15:00";"14.12.2010 15:00";"02_191_02_1.jpg";"02_191_02_2.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"1000462";"http://auction-ruseasons.ru/items_images/";"Настенное декоративное блюдо «Дворец съездов».";"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (небольшая технологическая трещина)";"02/191/03";"№02";"5000";"04.12.2010 15:00";"14.12.2010 15:00";"02_191_03_1.jpg";"02_191_03_2.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"1000463";"http://auction-ruseasons.ru/items_images/";"Настенное декоративное блюдо «СЭВ» (Здание «Совета экономической взаимопомощи»).";"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";"02/191/04";"№02";"5000";"04.12.2010 15:00";"14.12.2010 15:00";"02_191_04_1.jpg";"02_191_04_2.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"1000464";"http://auction-ruseasons.ru/items_images/";"Настенное декоративное блюдо «Третьяковская галерея».";"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";"02/191/05";"№02";"5000";"04.12.2010 15:00";"14.12.2010 15:00";"02_191_05_1.jpg";"02_191_05_2.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"1000465";"http://auction-ruseasons.ru/items_images/";"Настенное декоративное блюдо «Башни Кремля».";"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";"02/191/06";"№02";"5000";"04.12.2010 15:00";"14.12.2010 15:00";"02_191_06_1.jpg";"02_191_06_2.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"1000466";"http://auction-ruseasons.ru/items_images/";"Настенное декоративное блюдо «Исторический музей».";"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";"02/191/07";"№02";"5000";"04.12.2010 15:00";"14.12.2010 15:00";"02_191_07_1.jpg";"02_191_07_2.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"1000467";"http://auction-ruseasons.ru/items_images/";"Настенное декоративное блюдо «Храм Василия Блаженного».";"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";"02/191/08";"№02";"5000";"04.12.2010 15:00";"14.12.2010 15:00";"02_191_08_1.jpg";"02_191_08_2.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"1000468";"http://auction-ruseasons.ru/items_images/";"Настенное декоративное блюдо «Кремлёвские соборы».";"Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.";"02/191/09";"№02";"5000";"04.12.2010 15:00";"14.12.2010 15:00";"02_191_09_1.jpg";"02_191_09_2.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"1000469";"http://auction-ruseasons.ru/items_images/";"Композиция из двух фигур «Золушка и Принц», «Принц».";"Фарфор, роспись полихромная, золочение, ЛЗФИ, 1950-60 гг. Высота 8 и 11,5 см";"02/195/04";"№02";"10000";"04.12.2010 15:00";"14.12.2010 15:00";"02_195_04_1.jpg";"02_195_04_2.jpg";"02_195_04_3.jpg";"02_195_04_4.jpg";"02_195_04_5.jpg";"02_195_04_6.jpg";"02_195_04_7.jpg";"02_195_04_8.jpg";"02_195_04_9.jpg";"02_195_04_10.jpg";"02_195_04_11.jpg";"02_195_04_12.jpg";"02_195_04_13.jpg";"02_195_04_14.jpg"
"1000470";"http://auction-ruseasons.ru/items_images/";"Горчичница «Подсолнух».";"Фарфор, роспись, Западная Европа, 1-я пол. ХХ в., высота 4 см., диаметр 6,5 см.";"02/203/03";"№02";"1000";"04.12.2010 15:00";"14.12.2010 15:00";"02_203_03_1.jpg";"02_203_03_2.jpg";"02_203_03_3.jpg";"02_203_03_4.jpg";"02_203_03_5.jpg";"02_203_03_6.jpg";"";"";"";"";"";"";"";""
"1000471";"http://auction-ruseasons.ru/items_images/";"Сливочник.";"Фарфор, подпись «Кошки и мышки», В.Ф. Афоничев, авторская роспись, предмет поступил из семьи художника,СССР, 1970-80-е гг., высота 10 см.";"02/204/11";"№02";"8000";"04.12.2010 15:00";"14.12.2010 15:00";"02_204_11_1.jpg";"02_204_11_2.jpg";"02_204_11_3.jpg";"02_204_11_4.jpg";"02_204_11_5.jpg";"02_204_11_6.jpg";"02_204_11_7.jpg";"02_204_11_8.jpg";"";"";"";"";"";""
"1000472";"http://auction-ruseasons.ru/items_images/";"Фигурка «Медведь из квартета».";"Фарфор, роспись ЛФЗ, 1950-е гг., высота 13,5см";"02/205/09";"№02";"3000";"04.12.2010 15:00";"14.12.2010 15:00";"02_205_09_1.jpg";"02_205_09_2.jpg";"02_205_09_3.jpg";"02_205_09_4.jpg";"02_205_09_5.jpg";"02_205_09_6.jpg";"02_205_09_7.jpg";"";"";"";"";"";"";""
"1000473";"http://auction-ruseasons.ru/items_images/";"Фигурка «Юный Пушкин».";"Фарфор, золочение, ЛФЗ, 1950-е гг., высота15,5см";"02/205/10";"№02";"2000";"04.12.2010 15:00";"14.12.2010 15:00";"02_205_10_1.jpg";"02_205_10_2.jpg";"02_205_10_3.jpg";"02_205_10_4.jpg";"02_205_10_5.jpg";"";"";"";"";"";"";"";"";""
"1000474";"http://auction-ruseasons.ru/items_images/";"Фигурка «Юная балерина».";"Фарфор, золочение, ЛФЗ, 1960-е гг., высота 13см";"02/205/11";"№02";"2000";"04.12.2010 15:00";"14.12.2010 15:00";"02_205_11_1.jpg";"02_205_11_2.jpg";"02_205_11_3.jpg";"02_205_11_4.jpg";"02_205_11_5.jpg";"";"";"";"";"";"";"";"";""
"1000475";"http://auction-ruseasons.ru/items_images/";"Фигурка «Девочка с мишкой».";"Фарфор, подглазурная полихромная роспись, Западная Европа, 3-я четв. ХХ в., высота 23,5 см.";"02/206/07";"№02";"2800";"04.12.2010 15:00";"14.12.2010 15:00";"02_206_07_1.jpg";"02_206_07_2.jpg";"02_206_07_3.jpg";"02_206_07_4.jpg";"02_206_07_5.jpg";"02_206_07_6.jpg";"";"";"";"";"";"";"";""
"1000476";"http://auction-ruseasons.ru/items_images/";"Кашпо «Яблоки».";"Керамика, цветная глазурь, Россия(?), сер. ХХ в., высота 20,5 см, диаметр 19 см";"02/207/04";"№02";"8000";"04.12.2010 15:00";"14.12.2010 15:00";"02_207_04_1.jpg";"02_207_04_2.jpg";"02_207_04_3.jpg";"02_207_04_4.jpg";"02_207_04_5.jpg";"02_207_04_6.jpg";"02_207_04_7.jpg";"02_207_04_8.jpg";"02_207_04_9.jpg";"02_207_04_10.jpg";"";"";"";""
"1000477";"http://auction-ruseasons.ru/items_images/";"Фигурка «Девочка, кормящая птиц».";"Фарфор, роспись, золочение, СССР, Дулевский фарфоровый завод, 1954 г., высота 18,5 см.";"02/210/04";"№02";"5000";"04.12.2010 15:00";"14.12.2010 15:00";"02_210_04_1.jpg";"02_210_04_2.jpg";"02_210_04_3.jpg";"02_210_04_4.jpg";"02_210_04_5.jpg";"02_210_04_6.jpg";"02_210_04_7.jpg";"02_210_04_8.jpg";"02_210_04_9.jpg";"";"";"";"";""
"1000478";"http://auction-ruseasons.ru/items_images/";"Фигурка «Восточный танец».";"Фарфор, роспись, люстр, Германия, 1950-е гг., без марки, в тесте «8728», высота 21,5 см.";"02/210/08";"№02";"3000";"04.12.2010 15:00";"14.12.2010 15:00";"02_210_08_1.jpg";"02_210_08_2.jpg";"02_210_08_3.jpg";"02_210_08_4.jpg";"02_210_08_5.jpg";"02_210_08_6.jpg";"";"";"";"";"";"";"";""
"1000479";"http://auction-ruseasons.ru/items_images/";"Фигурка «Русский танец».";"Фарфор, роспись, золочение, СССР, Чудово, 1958 г., высота 27,5 см.";"02/210/09";"№02";"1500";"04.12.2010 15:00";"14.12.2010 15:00";"02_210_09_1.jpg";"02_210_09_2.jpg";"02_210_09_3.jpg";"02_210_09_4.jpg";"02_210_09_5.jpg";"02_210_09_6.jpg";"02_210_09_7.jpg";"";"";"";"";"";"";""
"1000480";"http://auction-ruseasons.ru/items_images/";"Фигурка «Ребенок в зимней одежде» .";"Фарфор, роспись, СССР, г. Новгород, завод «Пролетарий», без марки, 1950-е гг., высота 16,5 см.";"02/210/10";"№02";"3000";"04.12.2010 15:00";"14.12.2010 15:00";"02_210_10_1.jpg";"02_210_10_2.jpg";"02_210_10_3.jpg";"02_210_10_4.jpg";"02_210_10_5.jpg";"02_210_10_6.jpg";"02_210_10_7.jpg";"";"";"";"";"";"";""
"1000481";"http://auction-ruseasons.ru/items_images/";"Пепельница «Белый медведь».";"Фарфор, роспись, СССР, ЛФЗ, 1930-е гг., высота 10,5 см, диаметр 14,5 см.";"02/210/11";"№02";"17000";"04.12.2010 15:00";"14.12.2010 15:00";"02_210_11_1.jpg";"02_210_11_2.jpg";"02_210_11_3.jpg";"02_210_11_4.jpg";"02_210_11_5.jpg";"02_210_11_6.jpg";"02_210_11_7.jpg";"02_210_11_8.jpg";"02_210_11_9.jpg";"";"";"";"";""
"1000482";"http://auction-ruseasons.ru/items_images/";"Фигурка «Эстрадная певица».";"Фарфор, роспись, люстр, СССР, Киевский экспериментальный керамико-художественный завод, г. Вишневый, 1960-70-е гг., высота 27,5 см.";"02/210/12";"№02";"3000";"04.12.2010 15:00";"14.12.2010 15:00";"02_210_12_1.jpg";"02_210_12_2.jpg";"02_210_12_3.jpg";"02_210_12_4.jpg";"02_210_12_5.jpg";"02_210_12_6.jpg";"02_210_12_7.jpg";"";"";"";"";"";"";""
"1000483";"http://auction-ruseasons.ru/items_images/";"Блюдо декоративное «50 лет Октябрьской Революции».";"Обливная керамика, СССР, 1967 г.(?), размер 38х44 см.";"02/211/03";"№02";"25000";"04.12.2010 15:00";"14.12.2010 15:00";"02_211_03_1.jpg";"02_211_03_2.jpg";"02_211_03_3.jpg";"";"";"";"";"";"";"";"";"";"";""
"1000484";"http://auction-ruseasons.ru/items_images/";"Тарелка настенная «Портрет А.С.Грибоедова».";"Фаянс, печать, золочение, завод им. М.И. Калинина, Конаково, 1930-е гг., диаметр 21,7 см";"02/217/01";"№02";"1500";"04.12.2010 15:00";"14.12.2010 15:00";"02_217_01_1.jpg";"02_217_01_2.jpg";"02_217_01_3.jpg";"";"";"";"";"";"";"";"";"";"";""
"1000485";"http://auction-ruseasons.ru/items_images/";"Тарелка настенная «Портрет Т.Г Шевченко».";"Фаянс, печать, золочение, завод им. М.И.Калинина, Конаково, 1930-е гг., диаметр 21,7 см (сколы на тыльной стороне)";"02/217/02";"№02";"1500";"04.12.2010 15:00";"14.12.2010 15:00";"02_217_02_1.jpg";"02_217_02_2.jpg";"02_217_02_3.jpg";"";"";"";"";"";"";"";"";"";"";""
"1000486";"http://auction-ruseasons.ru/items_images/";"Тарелка настенная «Портрет И.А.Крылова».";"Фаянс, печать, золочение, завод им. М.И.Калинина, Конаково, 1930-е гг., диаметр 21,7 см";"02/217/03";"№02";"1500";"04.12.2010 15:00";"14.12.2010 15:00";"02_217_03_1.jpg";"02_217_03_2.jpg";"02_217_03_3.jpg";"";"";"";"";"";"";"";"";"";"";""
"1000487";"http://auction-ruseasons.ru/items_images/";"Блюдо настенное «Цветы».";"Фарфор, роспись, Дулево, 1930-е гг., диаметр 31 см";"02/217/04";"№02";"1000";"04.12.2010 15:00";"14.12.2010 15:00";"02_217_04_1.jpg";"02_217_04_2.jpg";"02_217_04_3.jpg";"";"";"";"";"";"";"";"";"";"";""
"1000488";"http://auction-ruseasons.ru/items_images/";"Пепельница из чернильного прибора «Обсуждение Сталинской конституции»";"Фарфор, роспись, ск. Н.Я.Данько и Е.Я.Данько, ЛФЗ, 1930-е гг., 8х20,3х10,8 см";"02/217/05";"№02";"20000";"04.12.2010 15:00";"14.12.2010 15:00";"02_217_05_1.jpg";"02_217_05_2.jpg";"02_217_05_3.jpg";"02_217_05_4.jpg";"02_217_05_5.jpg";"02_217_05_6.jpg";"02_217_05_7.jpg";"02_217_05_8.jpg";"02_217_05_9.jpg";"";"";"";"";""
"1000489";"http://auction-ruseasons.ru/items_images/";"Скульптура «Белый медвежонок».";"Фарфор, роспись, ЛФЗ, 1970-е гг., высота 11,5 см";"02/217/07";"№02";"800";"04.12.2010 15:00";"14.12.2010 15:00";"02_217_07_1.jpg";"02_217_07_2.jpg";"02_217_07_3.jpg";"02_217_07_4.jpg";"02_217_07_5.jpg";"02_217_07_6.jpg";"02_217_07_7.jpg";"02_217_07_8.jpg";"02_217_07_9.jpg";"";"";"";"";""
