auction_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;img;img;img;img;img;img;img;img;img;;;
№02;02/188/03;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Фигурка «Гордон сеттер с уткой».;Венская бронза. Бронза, литье, раскраска. Вена, Австрия, н. ХХ в. Размер высота 7.5 см., длина 14 см. ( небольшие потертости красочного слоя);Венская бронза. Бронза, литье, раскраска. Вена, Австрия, н. ХХ в. Размер высота 7.5 см., длина 14 см. ( небольшие потертости красочного слоя);21000;02_188_03_1_xyz.jpg;02_188_03_2_xyz.jpg;02_188_03_3_xyz.jpg;02_188_03_4_xyz.jpg;02_188_03_5_xyz.jpg;02_188_03_6_xyz.jpg;02_188_03_7_xyz.jpg;02_188_03_8_xyz.jpg;;;;
№02;02/200/01;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Блюдо декоративное «Медуза Горгона» в стиле Ренессанс.;Чугун, литье, рельеф, полировка, Россия, к. XIX в., завод Э. Ферстера (Санкт-Петербург) и Кусинский завод (Урал), клейма на обороте «Кус.З» и «Завод Э.Ферстер СПетербург», диаметр 53,7 см.;Чугун, литье, рельеф, полировка, Россия, к. XIX в., завод Э. Ферстера (Санкт-Петербург) и Кусинский завод (Урал), клейма на обороте «Кус.З» и «Завод Э.Ферстер СПетербург», диаметр 53,7 см.;120000;02_200_01_1_xyz.jpg;02_200_01_2_xyz.jpg;02_200_01_3_xyz.jpg;02_200_01_4_xyz.jpg;02_200_01_5_xyz.jpg;;;;;;;
№02;02/202/04;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Фигурка «Дон Кихот».;Чугун, литье, СССР, Каслинский завод, 1989 г., Клейма: Касли, 1989 г. Высота 21 см.;Чугун, литье, СССР, Каслинский завод, 1989 г., Клейма: Касли, 1989 г. Высота 21 см.;5000;02_202_04_1_xyz.jpg;02_202_04_2_xyz.jpg;02_202_04_3_xyz.jpg;;;;;;;;;
№02;02/204/17;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Ваза для фруктов с фигурой Музы.;Металл, серебрение, Россия (?), н. ХХ в., на книге в руках Музы дарственная надпись «На память от Паши и Бориса» 19 IX/XII 16, высота 44,5 см, диаметр 33,5 см.;Металл, серебрение, Россия (?), н. ХХ в., на книге в руках Музы дарственная надпись «На память от Паши и Бориса» 19 IX/XII 16, высота 44,5 см, диаметр 33,5 см.;25000;02_204_17_1_xyz.jpg;02_204_17_2_xyz.jpg;02_204_17_3_xyz.jpg;02_204_17_4_xyz.jpg;02_204_17_5_xyz.jpg;02_204_17_6_xyz.jpg;02_204_17_7_xyz.jpg;02_204_17_8_xyz.jpg;02_204_17_9_xyz.jpg;02_204_17_10_xyz.jpg;02_204_17_11_xyz.jpg;02_204_17_12_xyz.jpg
№02;02/205/02;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Парные подсвечники «Змея и лягушка», «Змея и птичье гнездо».;Бронза, золочение, патина, к. ХIХ в., высота 26 см (на одном утрачена деталь, очевидно, фигурка птички);Бронза, золочение, патина, к. ХIХ в., высота 26 см (на одном утрачена деталь, очевидно, фигурка птички);9000;02_205_02_1_xyz.jpg;02_205_02_2_xyz.jpg;02_205_02_3_xyz.jpg;02_205_02_4_xyz.jpg;02_205_02_5_xyz.jpg;02_205_02_6_xyz.jpg;02_205_02_7_xyz.jpg;;;;;
№02;02/206/02;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Настольное украшение «Ботинок с дырой».;Металл, серебрение, Западная Европа, н. ХХ в., высота 6 см.;Металл, серебрение, Западная Европа, н. ХХ в., высота 6 см.;800;02_206_02_1_xyz.jpg;02_206_02_2_xyz.jpg;02_206_02_3_xyz.jpg;02_206_02_4_xyz.jpg;02_206_02_5_xyz.jpg;02_206_02_6_xyz.jpg;;;;;;
№02;02/206/04;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Композиция «Птичка над гнездом».;Бронза, литьё, золочение, Западная Европа, ХХ в., высота 6 см.;Бронза, литьё, золочение, Западная Европа, ХХ в., высота 6 см.;1500;02_206_04_1_xyz.jpg;02_206_04_2_xyz.jpg;02_206_04_3_xyz.jpg;02_206_04_4_xyz.jpg;02_206_04_5_xyz.jpg;02_206_04_6_xyz.jpg;;;;;;
№02;02/206/21;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Лапоть.;Бронза, литье, чеканка, Россия, к. XIX - н. ХХ вв., длина 12.5 см, высота 3.5 см;Бронза, литье, чеканка, Россия, к. XIX - н. ХХ вв., длина 12.5 см, высота 3.5 см;22000;02_206_21_1_xyz.jpg;02_206_21_2_xyz.jpg;02_206_21_3_xyz.jpg;02_206_21_4_xyz.jpg;02_206_21_5_xyz.jpg;;;;;;;
№02;02/207/08;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Колокольчик.;Бронза, литье, золочение, Россия(?), 2-я пол. XIX в., высота 11 см;Бронза, литье, золочение, Россия(?), 2-я пол. XIX в., высота 11 см;20000;02_207_08_1_xyz.jpg;02_207_08_2_xyz.jpg;02_207_08_3_xyz.jpg;02_207_08_4_xyz.jpg;02_207_08_5_xyz.jpg;;;;;;;
№02;02/208/01;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Скульптура «Олень».;Бронза, патинирование, подпись в литье «C.Cardet», Западная Европа, к. XIX в., высота 32,8 см, длина 20,5 см. (утрачены 2 крепежных винта и 1 гайка);Бронза, патинирование, подпись в литье «C.Cardet», Западная Европа, к. XIX в., высота 32,8 см, длина 20,5 см. (утрачены 2 крепежных винта и 1 гайка);14000;02_208_01_1_xyz.jpg;02_208_01_2_xyz.jpg;02_208_01_3_xyz.jpg;02_208_01_4_xyz.jpg;02_208_01_5_xyz.jpg;02_208_01_6_xyz.jpg;02_208_01_7_xyz.jpg;;;;;
№02;02/208/04;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Настольное украшение «Рак на камне».;Бронза, патинирование, Западная Европа, к. XIX в. - н. ХХ вв., высота 6,5 см, длина 20,5 см. (крепежный винт сломан);Бронза, патинирование, Западная Европа, к. XIX в. - н. ХХ вв., высота 6,5 см, длина 20,5 см. (крепежный винт сломан);6000;02_208_04_1_xyz.jpg;02_208_04_2_xyz.jpg;02_208_04_3_xyz.jpg;02_208_04_4_xyz.jpg;02_208_04_5_xyz.jpg;02_208_04_6_xyz.jpg;02_208_04_7_xyz.jpg;;;;;
№02;02/208/06;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Рамка для фотографии.;Металл, смальта, мозаика, Западная Европа, к. XIX - н. ХХ вв., размер 12,5х10 см;Металл, смальта, мозаика, Западная Европа, к. XIX - н. ХХ вв., размер 12,5х10 см;12000;02_208_06_1_xyz.jpg;02_208_06_2_xyz.jpg;02_208_06_3_xyz.jpg;02_208_06_4_xyz.jpg;;;;;;;;
№02;02/212/05;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Подчасник.;Бронза, золочение, бархат, 2-я пол. XIX в., утраты на передних ножках, высота 15 см.;Бронза, золочение, бархат, 2-я пол. XIX в., утраты на передних ножках, высота 15 см.;4500;02_212_05_1_xyz.jpg;02_212_05_2_xyz.jpg;;;;;;;;;;
№02;02/213/01;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Настольное украшение «Медведь».;Бронза, патинирование, Россия, Санкт-Петербург, фабрика К. Верфеля, клеймо: «C.F. Woerffel.» к. XIX - н. ХХ вв., высота 10 см, длина 17,5 см.;Бронза, патинирование, Россия, Санкт-Петербург, фабрика К. Верфеля, клеймо: «C.F. Woerffel.» к. XIX - н. ХХ вв., высота 10 см, длина 17,5 см.;45000;02_213_01_1_xyz.jpg;02_213_01_2_xyz.jpg;02_213_01_3_xyz.jpg;02_213_01_4_xyz.jpg;02_213_01_5_xyz.jpg;02_213_01_6_xyz.jpg;02_213_01_7_xyz.jpg;;;;;
№02;02/214/06;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Орехокол в виде дамских ножек.;Бронза, Западная Европа, к. XIX - н. ХХ вв., длина 13,5 см.;Бронза, Западная Европа, к. XIX - н. ХХ вв., длина 13,5 см.;4000;02_214_06_1_xyz.jpg;02_214_06_2_xyz.jpg;02_214_06_3_xyz.jpg;02_214_06_4_xyz.jpg;;;;;;;;
№02;02/215/01;04.12.2012;14.12.2012;04.12.2012;14.12.2012;Рамка для фотографии.;Бронза, золочение, стекло, к. XIX - н. ХХ вв., размер 27х15,7 см.;Бронза, золочение, стекло, к. XIX - н. ХХ вв., размер 27х15,7 см.;16000;02_215_01_1_xyz.jpg;02_215_01_2_xyz.jpg;02_215_01_3_xyz.jpg;;;;;;;;;
