auction_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;img;img;img;img;img;img;img;img;;
№02;02/188/01;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Менажница «Цветы яблони».;Фаянс, зеленое крытье, роспись, Фабрика Гарднера, Россия, марка красная «Фабрик . Гарднеръ в Москве», к. XIX - н. ХХ вв., 13х33.5х33.5 см;Фаянс, зеленое крытье, роспись, Фабрика Гарднера, Россия, марка красная «Фабрик . Гарднеръ в Москве», к. XIX - н. ХХ вв., 13х33.5х33.5 см;6000;02_188_01_1.jpg;02_188_01_2.jpg;02_188_01_3.jpg;02_188_01_4.jpg;02_188_01_5.jpg;;;;;
№02;02/188/02;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Конфетница «Девушка с лютней».;Фарфор, кобальт, золочение, деколь, Германия, Зуль, фабрика Erdmann Schlegelmilch, 1910-е гг., высота 13 см, длина 6.5 см (реставрация ручки);Фарфор, кобальт, золочение, деколь, Германия, Зуль, фабрика Erdmann Schlegelmilch, 1910-е гг., высота 13 см, длина 6.5 см (реставрация ручки);1500;02_188_02_1.jpg;02_188_02_2.jpg;02_188_02_3.jpg;02_188_02_4.jpg;02_188_02_5.jpg;02_188_02_6.jpg;;;;
№02;02/188/05;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Тарелка декоративная «Семейная прогулка».;Фарфор, деколь с подрисовкой, золочение. Марка: в тесте изображение восьмерки или знака «бесконечность» (неизвестная марка). Западная Европа, н. ХХ в. Диаметр 34 см (небольшие потертости по деколи и потертости позолоты);Фарфор, деколь с подрисовкой, золочение. Марка: в тесте изображение восьмерки или знака «бесконечность» (неизвестная марка). Западная Европа, н. ХХ в. Диаметр 34 см (небольшие потертости по деколи и потертости позолоты);7000;02_188_05_1.jpg;02_188_05_2.jpg;02_188_05_3.jpg;02_188_05_4.jpg;;;;;;
№02;02/199/04;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Яйцо пасхальное «Св. Николай Чудотворец»;Фарфор, роспись, золочение, Россия, реставрация живописи,  потертости золочения , высота 8 см;Фарфор, роспись, золочение, Россия, реставрация живописи,  потертости золочения , высота 8 см;9000;02_199_04_1.jpg;02_199_04_2.jpg;02_199_04_3.jpg;02_199_04_4.jpg;02_199_04_5.jpg;02_199_04_6.jpg;;;;
№02;02/201/01;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Тарелки парные «Ампирный орнамент».;Фарфор, розовое крытье, роспись, золочение, Франция, Севр, н. XIX в., диаметр 23,5 см (потертости);Фарфор, розовое крытье, роспись, золочение, Франция, Севр, н. XIX в., диаметр 23,5 см (потертости);15000;02_201_01_1.jpg;02_201_01_2.jpg;02_201_01_3.jpg;02_201_01_4.jpg;02_201_01_5.jpg;02_201_01_6.jpg;02_201_01_7.jpg;02_201_01_8.jpg;02_201_01_9.jpg;02_201_01_10.jpg
№02;02/201/02;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Блюдце «Орнамент».;Фарфор, роспись, золочение, марка НI под короной, Россия, ИФЗ, период Николая I (1825-1855), диаметр 17 см (потертости);Фарфор, роспись, золочение, марка НI под короной, Россия, ИФЗ, период Николая I (1825-1855), диаметр 17 см (потертости);9800;02_201_02_1.jpg;02_201_02_2.jpg;02_201_02_3.jpg;;;;;;;
№02;02/201/03;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем «Цветы и птицы».;Фарфор, роспись, золочение, Франция, Севр, 1853 г., марка зеленая печатная S 53, в тесте - «D», высота чашки 6,3 см, диаметр блюдца 12 см.;Фарфор, роспись, золочение, Франция, Севр, 1853 г., марка зеленая печатная S 53, в тесте - «D», высота чашки 6,3 см, диаметр блюдца 12 см.;8000;02_201_03_1.jpg;02_201_03_2.jpg;02_201_03_3.jpg;02_201_03_4.jpg;02_201_03_5.jpg;02_201_03_6.jpg;02_201_03_7.jpg;02_201_03_8.jpg;02_201_03_9.jpg;02_201_03_10.jpg
№02;02/201/04;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Плакетка «Амур, вырезающий лук».;Фарфор, роспись, на обороте надпись «Аморъ», «38», G-синяя подглазурная, рамка - латунь, золочение, кожа, Россия (?), 1-я пол. XIX в., завод Гарднера (?), на коже «Dooken Meyer Helmstedt», овал 16х11 см.;Фарфор, роспись, на обороте надпись «Аморъ», «38», G-синяя подглазурная, рамка - латунь, золочение, кожа, Россия (?), 1-я пол. XIX в., завод Гарднера (?), на коже «Dooken Meyer Helmstedt», овал 16х11 см.;50000;02_201_04_1.jpg;02_201_04_2.jpg;02_201_04_3.jpg;02_201_04_4.jpg;02_201_04_5.jpg;;;;;
№02;02/203/01;4.12.2012;14.12.2012;4.12.2012;14.12.2012;6 чашек с блюдцами «Розы».;Фарфор, роспись, золочение, Россия, марка ВС, синяя надглазурная, коричневым N3, завод В. Сабянина, 1845-1875 гг., высота чашки - 5 см, диаметр блюдца - 13 см.;Фарфор, роспись, золочение, Россия, марка ВС, синяя надглазурная, коричневым N3, завод В. Сабянина, 1845-1875 гг., высота чашки - 5 см, диаметр блюдца - 13 см.;60000;02_203_01_1.jpg;02_203_01_2.jpg;02_203_01_3.jpg;02_203_01_4.jpg;02_203_01_5.jpg;02_203_01_6.jpg;02_203_01_7.jpg;02_203_01_8.jpg;02_203_01_9.jpg;02_203_01_10.jpg
№02;02/203/02;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем.;Фарфор, роспись «Цветы», золочение, Россия, фабрика М.С. Кузнецова в Дулево, н. ХХ в., высота чашки - 7 см, диаметр блюдца - 13,5 см.;Фарфор, роспись «Цветы», золочение, Россия, фабрика М.С. Кузнецова в Дулево, н. ХХ в., высота чашки - 7 см, диаметр блюдца - 13,5 см.;4000;02_203_02_1.jpg;02_203_02_2.jpg;02_203_02_3.jpg;02_203_02_4.jpg;02_203_02_5.jpg;02_203_02_6.jpg;02_203_02_7.jpg;;;
№02;02/203/04;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Яйцо пасхальное «Колокольчики».;Фарфор, роспись, Россия, н. ХХ в., высота 11 см.;Фарфор, роспись, Россия, н. ХХ в., высота 11 см.;18500;02_203_04_1.jpg;02_203_04_2.jpg;02_203_04_3.jpg;02_203_04_4.jpg;02_203_04_5.jpg;02_203_04_6.jpg;;;;
№02;02/203/05;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Яйцо пасхальное «Цветы и гирлянды».;Фарфор, роспись, Россия, н. ХХ в., высота 11 см.;Фарфор, роспись, Россия, н. ХХ в., высота 11 см.;18500;02_203_05_1.jpg;02_203_05_2.jpg;02_203_05_3.jpg;02_203_05_4.jpg;02_203_05_5.jpg;02_203_05_6.jpg;02_203_05_7.jpg;;;
№02;02/203/06;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем «Цветы».;Фарфор, зеленое крытье, роспись, золочение, Россия, завод братьев Корниловых, 1850-60-е гг., без марки, высота чашки - 6,5 см, диаметр блюдца - 15 см.;Фарфор, зеленое крытье, роспись, золочение, Россия, завод братьев Корниловых, 1850-60-е гг., без марки, высота чашки - 6,5 см, диаметр блюдца - 15 см.;20000;02_203_06_1.jpg;02_203_06_2.jpg;02_203_06_3.jpg;02_203_06_4.jpg;02_203_06_5.jpg;02_203_06_6.jpg;02_203_06_7.jpg;02_203_06_8.jpg;02_203_06_9.jpg;02_203_06_10.jpg
№02;02/204/06;4.12.2012;14.12.2012;4.12.2012;14.12.2012;2 рамки для фотографий «Зимние пейзажи».;Фарфор, роспись, муар, Россия, н. ХХ в., размер 19,2х15,2 см и 19,5х15,2 см;Фарфор, роспись, муар, Россия, н. ХХ в., размер 19,2х15,2 см и 19,5х15,2 см;14000;02_204_06_1.jpg;02_204_06_2.jpg;02_204_06_3.jpg;02_204_06_4.jpg;02_204_06_5.jpg;02_204_06_6.jpg;02_204_06_7.jpg;02_204_06_8.jpg;02_204_06_9.jpg;02_204_06_10.jpg
№02;02/204/10;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем.;Фарфор, кобальт, роспись золотом, фабрика М.С. Кузнецова в Дулево, н . ХХ в., высота чашки  5,5 см, диаметр блюдца 15,5 см.;Фарфор, кобальт, роспись золотом, фабрика М.С. Кузнецова в Дулево, н . ХХ в., высота чашки  5,5 см, диаметр блюдца 15,5 см.;3500;02_204_10_1.jpg;02_204_10_2.jpg;02_204_10_3.jpg;02_204_10_4.jpg;02_204_10_5.jpg;02_204_10_6.jpg;02_204_10_7.jpg;02_204_10_8.jpg;02_204_10_9.jpg;
№02;02/204/14;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Три декоративные тарелки «Девочка с лукошком».;Фарфор, роспись, подпись «Л. Добровольская», Россия, н. ХХ в., диаметр 20 см. Сколы.;Фарфор, роспись, подпись «Л. Добровольская», Россия, н. ХХ в., диаметр 20 см. Сколы.;15000;02_204_14_1.jpg;02_204_14_2.jpg;02_204_14_3.jpg;02_204_14_4.jpg;02_204_14_5.jpg;02_204_14_6.jpg;02_204_14_7.jpg;02_204_14_8.jpg;02_204_14_9.jpg;02_204_14_10.jpg
№02;02/206/01;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Конфетница «Корзинка».;Фарфор, роспись полихромная, лепка, н. ХХ в., без марки, высота 16 см.;Фарфор, роспись полихромная, лепка, н. ХХ в., без марки, высота 16 см.;1100;02_206_01_1.jpg;02_206_01_2.jpg;02_206_01_3.jpg;02_206_01_4.jpg;02_206_01_5.jpg;;;;;
№02;02/206/06;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Вазы парные в стиле рококо.;Фарфор, голубое крытье, роспись под-надглазурная, золочение, Западная Европа, к. XIX - ХХ вв., высота 47 см.;Фарфор, голубое крытье, роспись под-надглазурная, золочение, Западная Европа, к. XIX - ХХ вв., высота 47 см.;48000;02_206_06_1.jpg;02_206_06_2.jpg;02_206_06_3.jpg;02_206_06_4.jpg;02_206_06_5.jpg;02_206_06_6.jpg;;;;
№02;02/206/09;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Тарелка декоративная «Портрет цыганки».;Фарфор, крытье, живопись надглазурная полихромная, н. ХХ в., диаметр 17,5 см.;Фарфор, крытье, живопись надглазурная полихромная, н. ХХ в., диаметр 17,5 см.;5000;02_206_09_1.jpg;02_206_09_2.jpg;;;;;;;;
№02;02/206/10;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Шкатулка «Курица».;Бисквит, полихромная роспись, к. XIX в., высота 23 см, длина 27 см.;Бисквит, полихромная роспись, к. XIX в., высота 23 см, длина 27 см.;25000;02_206_10_1.jpg;02_206_10_2.jpg;02_206_10_3.jpg;02_206_10_4.jpg;02_206_10_5.jpg;02_206_10_6.jpg;02_206_10_7.jpg;;;
№02;02/206/11;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Парные вазочки «Ландыши».;Фарфор, подглазурная полихромная роспись, Копенгаген, Дания, Bing & Grondal, 1-я пол. ХХ в., высота 16,5 см.;Фарфор, подглазурная полихромная роспись, Копенгаген, Дания, Bing & Grondal, 1-я пол. ХХ в., высота 16,5 см.;9000;02_206_11_1.jpg;02_206_11_2.jpg;02_206_11_3.jpg;02_206_11_4.jpg;02_206_11_5.jpg;;;;;
№02;02/206/20;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Блюдо «Мифологический сюжет».;Фарфор, деколь, Западная Европа, к. XIX - н. ХХ вв., диаметр 30 см.;Фарфор, деколь, Западная Европа, к. XIX - н. ХХ вв., диаметр 30 см.;9000;02_206_20_1.jpg;02_206_20_2.jpg;02_206_20_3.jpg;02_206_20_4.jpg;;;;;;
№02;02/206/29;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Ваза в стиле модерн «Маки».;Фаянс, лепка, раскраска, Западная Европа, н. ХХ в., высота 15,5 см, длина 28 см.;Фаянс, лепка, раскраска, Западная Европа, н. ХХ в., высота 15,5 см, длина 28 см.;600;02_206_29_1.jpg;02_206_29_2.jpg;02_206_29_3.jpg;02_206_29_4.jpg;02_206_29_5.jpg;;;;;
№02;02/207/01;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Шкатулка «На катке».;Фарфор, роспись , золочение, Германия, Розенталь, н. ХХ в. (до 1924 г.), марка зеленая подглазурная «Rosenthal», серия «Rhododendron»  Handgemalt, 5216 (красным), размер 16х11х11 см.;Фарфор, роспись , золочение, Германия, Розенталь, н. ХХ в. (до 1924 г.), марка зеленая подглазурная «Rosenthal», серия «Rhododendron»  Handgemalt, 5216 (красным), размер 16х11х11 см.;5000;02_207_01_1.jpg;02_207_01_2.jpg;02_207_01_3.jpg;02_207_01_4.jpg;02_207_01_5.jpg;02_207_01_6.jpg;02_207_01_7.jpg;02_207_01_8.jpg;02_207_01_9.jpg;02_207_01_10.jpg
№02;02/208/02;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Парные настенные тарелки «Галантные сцены».;Фарфор, деколь, золочение, без марки, Западная Европа, к. XIX - н. ХХ вв., диаметр 28,5 см.;Фарфор, деколь, золочение, без марки, Западная Европа, к. XIX - н. ХХ вв., диаметр 28,5 см.;10000;02_208_02_1.jpg;02_208_02_2.jpg;02_208_02_3.jpg;02_208_02_4.jpg;02_208_02_5.jpg;;;;;
№02;02/208/03;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Фигурка «Играющие кошки».;Фарфор, роспись, Дания, Копенгаген, Королевская мануфактура, н. ХХ в., высота 8 см.;Фарфор, роспись, Дания, Копенгаген, Королевская мануфактура, н. ХХ в., высота 8 см.;6000;02_208_03_1.jpg;02_208_03_2.jpg;02_208_03_3.jpg;02_208_03_4.jpg;02_208_03_5.jpg;02_208_03_6.jpg;02_208_03_7.jpg;;;
№02;02/208/05;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Настенное декоративное блюдо «Рыба, цветы и фрукты» .;Фарфор, роспись, золочение, Франция, Лимож, н. ХХ в., подпись «Pierre», марка «Limoges, France», диаметр 34 см.;Фарфор, роспись, золочение, Франция, Лимож, н. ХХ в., подпись «Pierre», марка «Limoges, France», диаметр 34 см.;10000;02_208_05_1.jpg;02_208_05_2.jpg;02_208_05_3.jpg;02_208_05_4.jpg;;;;;;
№02;02/208/07;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Настенное декоративное блюдо «Розы» .;Фарфор, роспись, золочение, Франция, Лимож, н. ХХ в., подпись «Pierre», марка «Limoges, France», диаметр 34 см.;Фарфор, роспись, золочение, Франция, Лимож, н. ХХ в., подпись «Pierre», марка «Limoges, France», диаметр 34 см.;14000;02_208_07_1.jpg;02_208_07_2.jpg;02_208_07_3.jpg;02_208_07_4.jpg;;;;;;
№02;02/208/08;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Кашпо «В парке».;Бисквит, лепка, золочение, Западная Европа, к. XIX в., без марки, размер 21,5х12х15 см.;Бисквит, лепка, золочение, Западная Европа, к. XIX в., без марки, размер 21,5х12х15 см.;20000;02_208_08_1.jpg;02_208_08_2.jpg;02_208_08_3.jpg;02_208_08_4.jpg;02_208_08_5.jpg;02_208_08_6.jpg;02_208_08_7.jpg;02_208_08_8.jpg;;
№02;02/210/02;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Ваза с крышкой в стиле Севр.;Фарфор, роспись, золочение, лепные маскароны, Франция, 2-я пол. XIX в., высота 37 см. (на крышке скол и склейка);Фарфор, роспись, золочение, лепные маскароны, Франция, 2-я пол. XIX в., высота 37 см. (на крышке скол и склейка);50000;02_210_02_1.jpg;02_210_02_2.jpg;02_210_02_3.jpg;02_210_02_4.jpg;02_210_02_5.jpg;02_210_02_6.jpg;02_210_02_7.jpg;02_210_02_8.jpg;;
№02;02/210/03.1;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем «Цветы».;Фарфор, роспись, золочение, без марки, Западная Европа, 2-я пол. XIX в., высота чашки 8,5 см, диаметр блюдца 17 см (потертости золочения);Фарфор, роспись, золочение, без марки, Западная Европа, 2-я пол. XIX в., высота чашки 8,5 см, диаметр блюдца 17 см (потертости золочения);8000;02_210_03.1_1.jpg;02_210_03.1_2.jpg;02_210_03.1_3.jpg;02_210_03.1_4.jpg;02_210_03.1_5.jpg;02_210_03.1_6.jpg;02_210_03.1_7.jpg;02_210_03.1_8.jpg;02_210_03.1_9.jpg;
№02;02/210/03.2;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем «Цветы».;Фарфор, роспись, золочение, без марки, Западная Европа, 2-я пол. XIX в., высота чашки 8,5 см, диаметр блюдца 17 см (потертости золочения);Фарфор, роспись, золочение, без марки, Западная Европа, 2-я пол. XIX в., высота чашки 8,5 см, диаметр блюдца 17 см (потертости золочения);8000;02_210_03.2_1.jpg;02_210_03.2_2.jpg;02_210_03.2_3.jpg;02_210_03.2_4.jpg;02_210_03.2_5.jpg;02_210_03.2_6.jpg;02_210_03.2_7.jpg;02_210_03.2_8.jpg;;
№02;02/210/06;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем «Самураи».;Фарфор, роспись, золочение, Япония, н. ХХ в., высота чашки 5 см, диаметр блюдца 14 см.;Фарфор, роспись, золочение, Япония, н. ХХ в., высота чашки 5 см, диаметр блюдца 14 см.;3500;02_210_06_1.jpg;02_210_06_2.jpg;02_210_06_3.jpg;02_210_06_4.jpg;02_210_06_5.jpg;02_210_06_6.jpg;02_210_06_7.jpg;02_210_06_8.jpg;02_210_06_9.jpg;
№02;02/210/07;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем.;Фарфор, розовое крытье, роспись, золочение, Россия, завод Кузнецова на Волхове, н. ХХ в., высота чашки 8 см, диаметр блюдца 14 см (небольшой скол на основании чашки);Фарфор, розовое крытье, роспись, золочение, Россия, завод Кузнецова на Волхове, н. ХХ в., высота чашки 8 см, диаметр блюдца 14 см (небольшой скол на основании чашки);3500;02_210_07_1.jpg;02_210_07_2.jpg;02_210_07_3.jpg;02_210_07_4.jpg;02_210_07_5.jpg;02_210_07_6.jpg;02_210_07_7.jpg;02_210_07_8.jpg;02_210_07_9.jpg;
№02;02/212/08;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Пласт «Нарциссы».;Фаянс, роспись, золочение. На обороте дарственная надпись «На память от Е.П. 19 16/11 08», Россия, н. ХХ в., диаметр 20 см.;Фаянс, роспись, золочение. На обороте дарственная надпись «На память от Е.П. 19 16/11 08», Россия, н. ХХ в., диаметр 20 см.;10000;02_212_08_1.jpg;02_212_08_2.jpg;;;;;;;;
№02;02/213/02;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Настенное декоративное блюдо «Розы».;Фарфор, роспись, золочение, Германия, Берлин, КРМ, марка синий скипетр (1875-1944), нач. ХХ в., диаметр 34 см.;Фарфор, роспись, золочение, Германия, Берлин, КРМ, марка синий скипетр (1875-1944), нач. ХХ в., диаметр 34 см.;25000;02_213_02_1.jpg;02_213_02_2.jpg;02_213_02_3.jpg;02_213_02_4.jpg;;;;;;
№02;02/213/05;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Тарелка «Цветы».;Фарфор, монохромная надглазурная роспись, орнаментальное золочение, КРМ, Берлин, Германия, марка голубая скипетр и красная держава, красным КРМ, н. ХХ в., диаметр 21,5 см.;Фарфор, монохромная надглазурная роспись, орнаментальное золочение, КРМ, Берлин, Германия, марка голубая скипетр и красная держава, красным КРМ, н. ХХ в., диаметр 21,5 см.;9000;02_213_05_1.jpg;02_213_05_2.jpg;02_213_05_3.jpg;02_213_05_4.jpg;02_213_05_5.jpg;;;;;
№02;02/213/06;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Фигура «Львенок».;Фарфор, роспись полихромная, подглазурная, Мейсен Германия, марка синие скрещенные мечи, н. ХХ в., высота 11,5 см.;Фарфор, роспись полихромная, подглазурная, Мейсен Германия, марка синие скрещенные мечи, н. ХХ в., высота 11,5 см.;35000;02_213_06_1.jpg;02_213_06_2.jpg;;;;;;;;
№02;02/213/07;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем.;Фарфор, роспись надглазурная, полихромная, золотое и серебряное крытье, рельеф, орнаментальное золочение, Австрия (?), марка венский щиток, к. XIX -  н. ХХ вв., высота чашки 6,5 см, диаметр блюдца 13,5 см.;Фарфор, роспись надглазурная, полихромная, золотое и серебряное крытье, рельеф, орнаментальное золочение, Австрия (?), марка венский щиток, к. XIX -  н. ХХ вв., высота чашки 6,5 см, диаметр блюдца 13,5 см.;55000;02_213_07_1.jpg;02_213_07_2.jpg;;;;;;;;
№02;02/214/01;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Менажница «Цветы».;Фарфор, роспись, золочение, Силезия, Тифенфурт, марка под орлом ТРМ (Tiefenfurt Porzellan Manufaktur), к. XIX в., размер 34х22х10 см.;Фарфор, роспись, золочение, Силезия, Тифенфурт, марка под орлом ТРМ (Tiefenfurt Porzellan Manufaktur), к. XIX в., размер 34х22х10 см.;11000;02_214_01_1.jpg;02_214_01_2.jpg;02_214_01_3.jpg;02_214_01_4.jpg;02_214_01_5.jpg;02_214_01_6.jpg;02_214_01_7.jpg;;;
№02;02/214/02;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Тарелка «Орел и журавль».;Фарфор, кобальт, золочение, роспись, Франция, Лимож, фарфоровая фабрика Mavaleix & Granger, марка - сплетенные M и G, France deposee, 1920-1938 гг., диаметр 20,8 см.;Фарфор, кобальт, золочение, роспись, Франция, Лимож, фарфоровая фабрика Mavaleix & Granger, марка - сплетенные M и G, France deposee, 1920-1938 гг., диаметр 20,8 см.;5000;02_214_02_1.jpg;02_214_02_2.jpg;02_214_02_3.jpg;;;;;;;
№02;02/214/03;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Фарфоровый пласт «Проснись, дорогая».;Фарфор, живопись, Западная Европа, к. XIX - н. ХХ вв., подпись в правом нижнем углу неразборчиво, без марки, на обороте карандашом номера, рамка: дерево, золочение, бархат, размер 20х15 см.;Фарфор, живопись, Западная Европа, к. XIX - н. ХХ вв., подпись в правом нижнем углу неразборчиво, без марки, на обороте карандашом номера, рамка: дерево, золочение, бархат, размер 20х15 см.;60000;02_214_03_1.jpg;02_214_03_2.jpg;02_214_03_3.jpg;;;;;;;
№02;02/215/02;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Тарелка «Цветы».;Фарфор, роспись, золочение, Франция, н. ХХ в., диаметр 24 см.;Фарфор, роспись, золочение, Франция, н. ХХ в., диаметр 24 см.;4500;02_215_02_1.jpg;02_215_02_2.jpg;02_215_02_3.jpg;;;;;;;
№02;02/215/03;4.12.2012;14.12.2012;4.12.2012;14.12.2012;6 десертных тарелок «Мифологические сцены».;Фарфор, бордовое крытье, роспись золотом, деколь, Западная Европа, Австрия(?), к. XIX - н. ХХ вв., диаметр 19,5 см.;Фарфор, бордовое крытье, роспись золотом, деколь, Западная Европа, Австрия(?), к. XIX - н. ХХ вв., диаметр 19,5 см.;13500;02_215_03_1.jpg;02_215_03_2.jpg;02_215_03_3.jpg;02_215_03_4.jpg;02_215_03_5.jpg;02_215_03_6.jpg;02_215_03_7.jpg;02_215_03_8.jpg;02_215_03_9.jpg;02_215_03_10.jpg
№02;02/217/06;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Ваза «Колокольчики».;Фарфор, роспись, Дания, Копенгаген, Королевская мануфактура, н. ХХ в., высота 17 см;Фарфор, роспись, Дания, Копенгаген, Королевская мануфактура, н. ХХ в., высота 17 см;9000;02_217_06_1.jpg;02_217_06_2.jpg;02_217_06_3.jpg;02_217_06_4.jpg;02_217_06_5.jpg;02_217_06_6.jpg;02_217_06_7.jpg;;;
