auction_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;img;img;img;img;img;img;img;img;;
№02;02/188/03;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Фигурка «Гордон сеттер с уткой».;Строка с кратким описанием лота…;Венская бронза. Бронза, литье, раскраска. Вена, Австрия, н. ХХ в. Размер высота 7.5 см., длина 14 см. ( небольшие потертости красочного слоя);21000;02_188_03_1.jpg;02_188_03_2.jpg;02_188_03_3.jpg;02_188_03_4.jpg;02_188_03_5.jpg;02_188_03_6.jpg;02_188_03_7.jpg;02_188_03_8.jpg;;
№02;02/200/01;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Блюдо декоративное «Медуза Горгона» в стиле Ренессанс.;Строка с кратким описанием лота…;Чугун, литье, рельеф, полировка, Россия, к. XIX в., завод Э. Ферстера (Санкт-Петербург) и Кусинский завод (Урал), клейма на обороте «Кус.З» и «Завод Э.Ферстер СПетербург», диаметр 53,7 см.;120000;02_200_01_1.jpg;02_200_01_2.jpg;02_200_01_3.jpg;02_200_01_4.jpg;02_200_01_5.jpg;;;;;
№02;02/202/04;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Фигурка «Дон Кихот».;Строка с кратким описанием лота…;Чугун, литье, СССР, Каслинский завод, 1989 г., Клейма: Касли, 1989 г. Высота 21 см.;5000;02_202_04_1.jpg;02_202_04_2.jpg;02_202_04_3.jpg;;;;;;;
№02;02/204/17;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Ваза для фруктов с фигурой Музы.;Строка с кратким описанием лота…;Металл, серебрение, Россия (?), н. ХХ в., на книге в руках Музы дарственная надпись «На память от Паши и Бориса» 19 IX/XII 16, высота 44,5 см, диаметр 33,5 см.;25000;02_204_17_1.jpg;02_204_17_2.jpg;02_204_17_3.jpg;02_204_17_4.jpg;02_204_17_5.jpg;02_204_17_6.jpg;02_204_17_7.jpg;02_204_17_8.jpg;02_204_17_9.jpg;02_204_17_10.jpg
№02;02/205/02;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Парные подсвечники «Змея и лягушка», «Змея и птичье гнездо».;Строка с кратким описанием лота…;Бронза, золочение, патина, к. ХIХ в., высота 26 см (на одном утрачена деталь, очевидно, фигурка птички);9000;02_205_02_1.jpg;02_205_02_2.jpg;02_205_02_3.jpg;02_205_02_4.jpg;02_205_02_5.jpg;02_205_02_6.jpg;02_205_02_7.jpg;;;
№02;02/206/02;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Настольное украшение «Ботинок с дырой».;Строка с кратким описанием лота…;Металл, серебрение, Западная Европа, н. ХХ в., высота 6 см.;800;02_206_02_1.jpg;02_206_02_2.jpg;02_206_02_3.jpg;02_206_02_4.jpg;02_206_02_5.jpg;02_206_02_6.jpg;;;;
№02;02/206/04;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Композиция «Птичка над гнездом».;Строка с кратким описанием лота…;Бронза, литьё, золочение, Западная Европа, ХХ в., высота 6 см.;1500;02_206_04_1.jpg;02_206_04_2.jpg;02_206_04_3.jpg;02_206_04_4.jpg;02_206_04_5.jpg;02_206_04_6.jpg;;;;
№02;02/206/21;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Лапоть.;Строка с кратким описанием лота…;Бронза, литье, чеканка, Россия, к. XIX - н. ХХ вв., длина 12.5 см, высота 3.5 см;22000;02_206_21_1.jpg;02_206_21_2.jpg;02_206_21_3.jpg;02_206_21_4.jpg;02_206_21_5.jpg;;;;;
№02;02/207/08;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Колокольчик.;Строка с кратким описанием лота…;Бронза, литье, золочение, Россия(?), 2-я пол. XIX в., высота 11 см;20000;02_207_08_1.jpg;02_207_08_2.jpg;02_207_08_3.jpg;02_207_08_4.jpg;02_207_08_5.jpg;;;;;
№02;02/208/01;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Скульптура «Олень».;Строка с кратким описанием лота…;Бронза, патинирование, подпись в литье «C.Cardet», Западная Европа, к. XIX в., высота 32,8 см, длина 20,5 см. (утрачены 2 крепежных винта и 1 гайка);14000;02_208_01_1.jpg;02_208_01_2.jpg;02_208_01_3.jpg;02_208_01_4.jpg;02_208_01_5.jpg;02_208_01_6.jpg;02_208_01_7.jpg;;;
№02;02/208/04;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Настольное украшение «Рак на камне».;Строка с кратким описанием лота…;Бронза, патинирование, Западная Европа, к. XIX в. - н. ХХ вв., высота 6,5 см, длина 20,5 см. (крепежный винт сломан);6000;02_208_04_1.jpg;02_208_04_2.jpg;02_208_04_3.jpg;02_208_04_4.jpg;02_208_04_5.jpg;02_208_04_6.jpg;02_208_04_7.jpg;;;
№02;02/208/06;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Рамка для фотографии.;Строка с кратким описанием лота…;Металл, смальта, мозаика, Западная Европа, к. XIX - н. ХХ вв., размер 12,5х10 см;12000;02_208_06_1.jpg;02_208_06_2.jpg;02_208_06_3.jpg;02_208_06_4.jpg;;;;;;
№02;02/212/05;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Подчасник.;Строка с кратким описанием лота…;Бронза, золочение, бархат, 2-я пол. XIX в., утраты на передних ножках, высота 15 см.;4500;02_212_05_1.jpg;02_212_05_2.jpg;;;;;;;;
№02;02/213/01;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Настольное украшение «Медведь».;Строка с кратким описанием лота…;Бронза, патинирование, Россия, Санкт-Петербург, фабрика К. Верфеля, клеймо: «C.F. Woerffel.» к. XIX - н. ХХ вв., высота 10 см, длина 17,5 см.;45000;02_213_01_1.jpg;02_213_01_2.jpg;02_213_01_3.jpg;02_213_01_4.jpg;02_213_01_5.jpg;02_213_01_6.jpg;02_213_01_7.jpg;;;
№02;02/214/06;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Орехокол в виде дамских ножек.;Строка с кратким описанием лота…;Бронза, Западная Европа, к. XIX - н. ХХ вв., длина 13,5 см.;4000;02_214_06_1.jpg;02_214_06_2.jpg;02_214_06_3.jpg;02_214_06_4.jpg;;;;;;
№02;02/215/01;01.12.2012;16.12.2012;04.12.2012;14.12.2012;Рамка для фотографии.;Строка с кратким описанием лота…;Бронза, золочение, стекло, к. XIX - н. ХХ вв., размер 27х15,7 см.;16000;02_215_01_1.jpg;02_215_01_2.jpg;02_215_01_3.jpg;;;;;;;
